Sending: (('id', '120345678901234'), ('timestamp', 1761227751), ('lat', 41.810658), ('lon', -88.032381), ('speed', 65.3348), ('heading', 239))
Sending: (('id', '120345678901234'), ('timestamp', 1761227753), ('lat', 41.809903), ('lon', -88.034578), ('speed', 65.3348), ('heading', 252))
Sending: (('id', '120345678901234'), ('timestamp', 1761227755), ('lat', 41.809513), ('lon', -88.037628), ('speed', 61.5551), ('heading', 269))
Sending: (('id', '120345678901234'), ('timestamp', 1761227758), ('lat', 41.809515), ('lon', -88.038013), ('speed', 61.5551), ('heading', 271))
Sending: (('id', '120345678901234'), ('timestamp', 1761227760), ('lat', 41.809751), ('lon', -88.043613), ('speed', 60.4752), ('heading', 272))
Sending: (('id', '120345678901234'), ('timestamp', 1761227763), ('lat', 41.809991), ('lon', -88.04946), ('speed', 66.4147), ('heading', 272))
Sending: (('id', '120345678901234'), ('timestamp', 1761227765), ('lat', 41.810256), ('lon', -88.056311), ('speed', 70.7344), ('heading', 273))
Sending: (('id', '120345678901234'), ('timestamp', 1761227767), ('lat', 41.810313), ('lon', -88.058101), ('speed', 73.4342), ('heading', 270))
Sending: (('id', '120345678901234'), ('timestamp', 1761227770), ('lat', 41.810315), ('lon', -88.059471), ('speed', 73.9741), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227772), ('lat', 41.810286), ('lon', -88.063151), ('speed', 73.4342), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227775), ('lat', 41.810166), ('lon', -88.069805), ('speed', 70.7344), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227777), ('lat', 41.810063), ('lon', -88.073726), ('speed', 69.1145), ('heading', 264))
Sending: (('id', '120345678901234'), ('timestamp', 1761227780), ('lat', 41.809621), ('lon', -88.076193), ('speed', 67.4946), ('heading', 249))
Sending: (('id', '120345678901234'), ('timestamp', 1761227782), ('lat', 41.807258), ('lon', -88.081676), ('speed', 67.4946), ('heading', 238))
Sending: (('id', '120345678901234'), ('timestamp', 1761227785), ('lat', 41.806473), ('lon', -88.083445), ('speed', 64.7948), ('heading', 242))
